city,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,cloudcover_mean,weathercode,country,continent,latitude,longitude,coastal_city,date,month,day_of_week,day_of_year,week_of_year,is_weekend,season,temp_range,heavy_rain_flag,heatwave_flag,high_wind_flag,temp_lag_1,temp_lag_7,temp_7d_avg,precip_7d_sum
Amsterdam,2.8,-0.4,1.8,-0.7,-4.0,1.2,1.2,0.0,17.4,33.5,97,51,Netherlands,Europe,52.3676,4.9041,0,2026-01-08,1,3,8,2,0,Winter,3.2,0,0,0,0.1,4.3,0.7142857142857143,34.400000000000006
Amsterdam,2.4,-1.5,1.1,-1.5,-6.6,13.9,8.4,3.85,22.7,45.4,100,75,Netherlands,Europe,52.3676,4.9041,0,2026-01-09,1,4,9,2,0,Winter,3.9,0,0,0,1.8,2.7,0.4857142857142857,41.5
Amsterdam,-1.5,-3.2,-2.4,-6.8,-8.2,1.0,0.0,0.7,20.2,42.1,95,71,Netherlands,Europe,52.3676,4.9041,0,2026-01-10,1,5,10,2,1,Winter,1.7000000000000002,0,0,0,1.1,1.5,-0.0714285714285714,33.7
Amsterdam,0.4,-6.9,-3.5,-5.1,-10.9,0.0,0.0,0.0,20.9,44.3,93,3,Netherlands,Europe,52.3676,4.9041,0,2026-01-11,1,6,11,2,1,Winter,7.300000000000001,0,0,0,-2.4,1.2,-0.7428571428571429,26.8
Amsterdam,5.8,0.8,3.3,2.6,-5.2,3.9,3.9,0.0,26.8,53.3,91,61,Netherlands,Europe,52.3676,4.9041,0,2026-01-12,1,0,12,3,0,Winter,5.0,0,0,0,-3.5,-1.2,-0.1,29.3
Amsterdam,9.1,5.3,7.6,6.7,2.1,2.0,2.0,0.0,18.3,35.3,92,53,Netherlands,Europe,52.3676,4.9041,0,2026-01-13,1,1,13,3,0,Winter,3.8,0,0,0,3.3,-1.1,1.1428571428571428,31.1
Amsterdam,8.3,2.5,5.5,5.5,-0.1,5.5,5.5,0.0,14.8,29.9,66,55,Netherlands,Europe,52.3676,4.9041,0,2026-01-14,1,2,14,3,0,Winter,5.800000000000001,0,0,0,7.6,0.1,1.914285714285714,27.5
Amsterdam,9.5,4.9,7.9,7.1,2.1,2.2,2.2,0.0,20.9,45.7,87,53,Netherlands,Europe,52.3676,4.9041,0,2026-01-15,1,3,15,3,0,Winter,4.6,0,0,0,5.5,1.8,2.7857142857142856,28.5
Amsterdam,10.2,6.4,8.5,8.0,3.9,1.6,1.6,0.0,23.5,48.2,86,53,Netherlands,Europe,52.3676,4.9041,0,2026-01-16,1,4,16,3,0,Winter,3.799999999999999,0,0,0,7.9,1.1,3.8428571428571434,16.2
Amsterdam,10.9,4.6,7.3,9.5,2.4,0.5,0.5,0.0,11.5,21.6,83,51,Netherlands,Europe,52.3676,4.9041,0,2026-01-17,1,5,17,3,1,Winter,6.300000000000001,0,0,0,8.5,-2.4,5.228571428571429,15.7
Amsterdam,6.2,1.3,3.0,3.6,-1.9,0.0,0.0,0.0,9.6,19.8,64,3,Netherlands,Europe,52.3676,4.9041,0,2026-01-18,1,6,18,3,1,Winter,4.9,0,0,0,7.3,-3.5,6.1571428571428575,15.7
Amsterdam,4.4,0.0,2.2,1.9,-3.2,0.3,0.3,0.0,10.6,21.2,78,51,Netherlands,Europe,52.3676,4.9041,0,2026-01-19,1,0,19,4,0,Winter,4.4,0,0,0,3.0,3.3,6.0,12.1
Amsterdam,4.8,0.0,2.1,2.2,-3.4,0.0,0.0,0.0,11.2,24.1,42,3,Netherlands,Europe,52.3676,4.9041,0,2026-01-20,1,1,20,4,0,Winter,4.8,0,0,0,2.2,7.6,5.214285714285714,10.1
Amsterdam,7.4,2.5,4.7,4.4,-1.2,1.7,1.7,0.0,16.3,33.5,85,53,Netherlands,Europe,52.3676,4.9041,0,2026-01-21,1,2,21,4,0,Winter,4.9,0,0,0,2.1,5.5,5.1000000000000005,6.300000000000001
Amsterdam,4.6,0.3,2.5,0.6,-4.1,0.0,0.0,0.0,14.3,29.5,54,3,Netherlands,Europe,52.3676,4.9041,0,2026-01-22,1,3,22,4,0,Winter,4.3,0,0,0,4.7,7.9,4.328571428571428,4.1
Amsterdam,6.6,1.5,3.8,3.7,-2.6,0.0,0.0,0.0,14.1,32.4,79,3,Netherlands,Europe,52.3676,4.9041,0,2026-01-23,1,4,23,4,0,Winter,5.1,0,0,0,2.5,8.5,3.6571428571428575,2.5
